hospital_id,hospital_name,hospital_type,ownership_type,city,state,bed_capacity,accreditation_status,established_year
HOS0051,Houston University Hospital,Children's Hospital,Unknown,Houston,TX,75,JCI Accredited,2008
HOS0256,Sacramento Health System,Community Hospital,Unknown,Sacramento,CA,150,CMS Certified,1964
HOS0096,Milwaukee Health System,Children's Hospital,Government,Milwaukee,WI,100,Not Accredited,1933
HOS0208,Buffalo Community Health Center,General Hospital,Non-Profit,Buffalo,NY,,NABH Accredited,1974
HOS0004,Provo Regional Hospital,Teaching Hospital,Government,Provo,UT,750,NABH Accredited,1988
HOS0289,Virginia Beach Clinic,Specialty Clinic,Non-Profit,Virginia Beach,VA,400,Unknown,1935
HOS0162,Anchorage University Hospital,Children's Hospital,Private,Anchorage,AK,400,NABH Accredited,1949
HOS0244,Honolulu Community Health Center,Specialty Clinic,Government,Honolulu,HI,1000,CMS Certified,1985
HOS0169,Salt Lake City Clinic,Teaching Hospital,Private,Salt Lake City,UT,750,Not Accredited,1948
HOS0050,Grand Rapids Community Health Center,Specialty Clinic,Unknown,Grand Rapids,MI,100,CMS Certified,1990
HOS0137,Springfield Clinic,Teaching Hospital,University-Affiliated,Springfield,IL,500,JCI Accredited,1978
HOS0031,Indianapolis Clinic,Specialty Clinic,University-Affiliated,Indianapolis,IN,100,Not Accredited,1979
HOS0195,Charlotte Medical Center,Children's Hospital,Non-Profit,Charlotte,NC,400,JCI Accredited,1927
HOS0202,Raleigh Memorial Hospital,Teaching Hospital,Private,Raleigh,NC,1000,CMS Certified,1928
HOS0150,Boston University Hospital,Community Hospital,Non-Profit,Boston,MA,150,NABH Accredited,1993
HOS0022,New Orleans Regional Hospital,Teaching Hospital,University-Affiliated,New Orleans,LA,1000,Not Accredited,1976
HOS0184,Milwaukee University Hospital,Teaching Hospital,Government,Milwaukee,WI,250,NABH Accredited,1976
HOS0001,Des Moines Community Health Center,Children's Hospital,Private,Des Moines,IA,,JCI Accredited,2004
HOS0053,San Jose Health System,General Hospital,Non-Profit,San Jose,CA,250,JCI Accredited,1965
HOS0127,Cincinnati Regional Hospital,Community Hospital,Unknown,Cincinnati,OH,500,NABH Accredited,2002
HOS0045,Portland Clinic,Children's Hospital,Unknown,Portland,OR,750,JCI Accredited,2005
HOS0165,Jacksonville Memorial Hospital,Community Hospital,Non-Profit,Jacksonville,FL,400,Not Accredited,1945
HOS0095,Birmingham General Hospital,Children's Hospital,Private,Birmingham,AL,400,Not Accredited,1967
HOS0253,Orlando University Hospital,Specialty Clinic,Private,Orlando,FL,750,NABH Accredited,1952
HOS0059,Virginia Beach Medical Center,Specialty Clinic,University-Affiliated,Virginia Beach,VA,,Not Accredited,1928
HOS0088,Oklahoma City University Hospital,Specialty Clinic,University-Affiliated,Oklahoma City,OK,,Unknown,1970
HOS0198,Baltimore Health System,Teaching Hospital,Non-Profit,Baltimore,MD,300,Not Accredited,1978
HOS0123,Kansas City Regional Hospital,Teaching Hospital,Government,Kansas City,MO,100,NABH Accredited,1942
